,userid,user_reported_location_x,stem,account_language_x,user_country
0,iwUNdDZ25SwNAFwVuMHcZcZSHkPV4qNMKxVbvhIR6cc=,"灣仔, 香港",china,zh-cn,China
1,IBfChzqHTUa3gr1yTPh1niRGDemQ9VsurQyuWSqpsmk=,Omaha,china,zh-cn,United States
2,aXLKkUO9ZKXMxgmX8Awpzs4eVnhmiiJFm6tpPoJ6E=,"Paterson, USA",china,zh-cn,United States
3,umOv9qXXaQ8T2HaONNUO7r917CrCvcRFJE0jpqIxmf0=,Yonkers,china,zh-cn,United States
4,fRGUpMX8vID+fpEZZIGpfPrY4AgorycaxXWlWQxxexY=,China,china,zh-tw,China
5,CoSMqyy9zXUK1mZLCTVFtnJ6Uj7Efveo014AKBYakXM=,Kyrgyzstan,china,ru,Kyrgyzstan
6,LxPu9eaZY365Ujf5nRwkEiFbt+lOJkb+iux23i8u8A=,"Bakersfield, USA",china,zh-cn,United States
7,Un7wZyRhKywbP9phFN3ndw4mflBsfA5lYgb1Sv1HH7U=,HONG KONG,china,zh-cn,China
8,SJ2dXg4Rn7cOX0NM8X0hG09JD+Hg9BUQJxzGN86ZI=,"Астрахань, Россия",china,zh-cn,Russia
9,1b+F6QJnme6XHDeRaWxym1bOyWua0u6zMMejB2wPwcE=,Seattle,china,zh-tw,United States
10,vVP1304qfZVPRqpibhAYAo97wWJxVgAZ9Df20ZSTIY=,"Ярославль, Россия",china,zh-cn,Russia
11,CgeAMQ35ZGfLCT599KyQZZCxBGsaJtempnzvapX39tQ=,Minneapolis,china,zh-cn,United States
12,wohoUnom+82a97QfBlnKEeIFARIajD2IidpXBnsFwx4=,Cincinnati,china,zh-cn,United States
13,bZp0FLVdR7nbK7mwMOomW4nImkEpnNEKP+GFY6Cxyr0=,"Florencio, USA",china,zh-CN,United States
14,OVT0P0+TkU0uaZK12ymKNVymv95QnwhWodqmImK9Q8s=,泰國,china,zh-tw,Thailand
15,stUEBBP8al4SoPA9mVIAJl29wWh8UeTvKoSHus0blMc=,"Murfreesboro, USA",china,zh-cn,United States
16,PK02iSoUjg3M8jgEE3831yG+R+993gGrrrTV7eAAO0=,"Липецк, Россия",china,zh-cn,Russia
17,4vnsAYirl4ZV7eTaDGyXfDVThEfHeRiU7eEpU0dqQxo=,"Воронеж, Россия",china,zh-cn,Russia
18,OgE4npKQHaJ0cWjTUag4UsF1rywpOuuRiRyZQe3L6lE=,Palm Bay,china,zh-cn,United States
